,ca,blue,green,red,nir,swir1,swir2,VI,NDVI,TVI,DOY,label,AQI
863,0.2734,0.284,0.2933,0.3079,0.3737,0.3757,0.2997,0.0658,0.096537559,0.772358439,18,3,100
216,0.0332,0.0447,0.0703,0.0746,0.193,0.2038,0.1694,0.1184,0.44245142,0.970799372,316,1,21
772,0.0882,0.101,0.1432,0.1311,0.1815,0.211,0.2052,0.0504,0.161228407,0.813159521,351,3,61
819,0.0797,0.0926,0.1075,0.1061,0.1806,0.1863,0.1372,0.0745,0.259853505,0.871695764,111,3,77
859,0.0517,0.0664,0.0895,0.0858,0.2089,0.1691,0.1271,0.1231,0.417712928,0.957973344,50,3,98
696,0.0982,0.1065,0.1251,0.133,0.227,0.2437,0.2021,0.094,0.261111111,0.872416822,271,2,48
953,0.0704,0.084,0.1103,0.1087,0.1939,0.2255,0.1846,0.0852,0.281559815,0.884058717,31,4,167
506,0.1216,0.1286,0.1024,0.0893,0.2639,0.4022,0.3528,0.1746,0.494337486,0.997164724,79,2,31
595,0.0457,0.0653,0.1078,0.1055,0.226,0.1707,0.1189,0.1205,0.363499246,0.929246601,271,2,36
177,0.0762,0.0933,0.1079,0.1103,0.1881,0.1636,0.115,0.0778,0.260723861,0.872194852,335,1,20
269,0.1594,0.1655,0.1644,0.1652,0.2282,0.211,0.1563,0.063,0.160142349,0.812491445,319,1,22
77,0.4386,0.4606,0.4692,0.4865,0.5737,0.5171,0.3743,0.0872,0.082248632,0.763052182,143,1,16
271,0.0536,0.0664,0.0881,0.0928,0.1975,0.1919,0.1489,0.1047,0.360661385,0.927718376,348,1,22
555,0.0886,0.0954,0.1085,0.1018,0.2312,0.1732,0.123,0.1294,0.388588589,0.94264977,319,2,33
296,0.3143,0.3181,0.3237,0.3293,0.4013,0.3395,0.2479,0.072,0.098549138,0.773659575,159,1,23
754,0.0646,0.0795,0.1025,0.1107,0.184,0.2131,0.1798,0.0733,0.24872752,0.865290425,351,3,58
118,0.0804,0.0786,0.0806,0.0652,0.0856,0.0461,0.0288,0.0204,0.135278515,0.797043609,95,1,17
509,0.1189,0.1439,0.173,0.1919,0.2712,0.3298,0.2586,0.0793,0.171237314,0.819290738,79,2,31
159,0.0535,0.0578,0.0633,0.0524,0.0867,0.0696,0.0546,0.0343,0.246585191,0.864051613,143,1,19
261,0.119,0.1225,0.1599,0.1678,0.2835,0.2607,0.1991,0.1157,0.256370485,0.869695628,255,1,22
615,0.1265,0.1295,0.1624,0.1683,0.2265,0.2584,0.2202,0.0582,0.147416413,0.804621907,111,2,38
100,0.3244,0.3232,0.3258,0.3266,0.4057,0.3386,0.2767,0.0791,0.108015841,0.779753705,159,1,17
144,0.1912,0.1904,0.2123,0.2099,0.3187,0.2965,0.2243,0.1088,0.205826712,0.840134937,300,1,19
7,0.1096,0.113,0.0825,0.0696,0.2187,0.3555,0.3352,0.1491,0.517169615,1.008548271,300,1,8
466,0.0704,0.0842,0.1096,0.1163,0.2224,0.2357,0.1992,0.1061,0.313256569,0.90180739,79,2,28
158,0.0936,0.0978,0.1095,0.1,0.0979,0.0744,0.0603,-0.0021,-0.01061142,0.699563135,319,1,19
2,0.1216,0.1309,0.1164,0.1065,0.295,0.3788,0.3156,0.1885,0.469489415,0.984626536,127,1,7
172,0.0511,0.0643,0.0943,0.0908,0.3037,0.2775,0.1616,0.2129,0.539670469,1.019642324,348,1,20
543,0.2793,0.2865,0.2869,0.2947,0.3483,0.3291,0.2534,0.0536,0.083359253,0.763779584,63,2,33
551,0.0862,0.0882,0.1089,0.116,0.2051,0.2052,0.1545,0.0891,0.27748365,0.881750333,335,2,33
701,0.1031,0.1112,0.0966,0.0872,0.2325,0.3326,0.2955,0.1453,0.454488583,0.976979316,351,2,49
231,0.0762,0.0703,0.0808,0.0671,0.188,0.1471,0.088,0.1209,0.473931791,0.986879826,332,1,21
515,0.1131,0.116,0.1309,0.1358,0.2231,0.2048,0.1599,0.0873,0.243243243,0.862115563,319,2,31
192,0.3275,0.3321,0.3372,0.3432,0.4186,0.4118,0.3619,0.0754,0.098976109,0.773935468,332,1,21
636,0.1597,0.1568,0.1392,0.1231,0.2983,0.3596,0.3036,0.1752,0.415757,0.956951932,191,2,40
230,0.0782,0.0713,0.0832,0.0692,0.1875,0.1482,0.0909,0.1183,0.46084924,0.980229177,332,1,21
425,0.0959,0.1022,0.1303,0.1323,0.3243,0.2745,0.1763,0.192,0.420499343,0.95942657,319,2,26
98,0.076,0.0784,0.0871,0.0818,0.0721,0.0438,0.0337,-0.0097,-0.06302794,0.661038622,364,1,16
439,0.0664,0.0766,0.0989,0.0979,0.1433,0.1435,0.1175,0.0454,0.188225539,0.829593599,47,2,26
956,0.0564,0.0716,0.1051,0.1023,0.199,0.1961,0.1536,0.0967,0.320942582,0.906058818,31,4,172
312,0.0788,0.0842,0.1098,0.0933,0.3702,0.261,0.1441,0.2769,0.597411003,1.047573865,319,1,23
299,0.0899,0.1028,0.1303,0.1339,0.2418,0.2672,0.2366,0.1079,0.287197232,0.887241361,95,1,23
327,0.0545,0.0609,0.0712,0.0658,0.1119,0.1132,0.0921,0.0461,0.259425999,0.871450514,287,1,23
21,0.3348,0.3333,0.3289,0.3258,0.3883,0.2574,0.1677,0.0625,0.087522756,0.76650033,239,1,10
69,0.0522,0.0639,0.0928,0.0849,0.182,0.1673,0.1318,0.0971,0.363806669,0.929412002,191,1,15
633,0.4912,0.5093,0.5473,0.5634,0.6132,0.5847,0.447,0.0498,0.042325344,0.73642742,111,2,40
372,0.0635,0.0664,0.0782,0.0731,0.1041,0.1141,0.0986,0.031,0.174943567,0.821549491,364,1,24
632,0.0753,0.0829,0.1015,0.0847,0.0643,0.0384,0.0287,-0.0204,-0.136912752,0.602567215,79,2,39
217,0.2396,0.2389,0.2425,0.2395,0.3196,0.2387,0.1684,0.0801,0.143265963,0.802038629,239,1,21
89,0.0607,0.0789,0.1129,0.1086,0.2862,0.2324,0.1381,0.1776,0.449848024,0.974601469,364,1,16
127,0.0664,0.0779,0.0955,0.0958,0.1736,0.2085,0.1687,0.0778,0.288789903,0.888138448,95,1,18
