,ca,blue,green,red,nir,swir1,swir2,VI,NDVI,TVI,DOY,label,AQI
179,0.0522,0.0651,0.0955,0.0926,0.1983,0.1546,0.1038,0.1057,0.363355105,0.92916904,335,1,20
404,0.0656,0.0735,0.0589,0.0541,0.0719,0.0709,0.0564,0.0178,0.141269841,0.800793258,316,1,25
751,0.0717,0.0787,0.1103,0.1002,0.1893,0.1512,0.1078,0.0891,0.307772021,0.898761381,50,3,56
868,0.6008,0.6074,0.6093,0.6206,0.655,0.4694,0.3415,0.0344,0.026967701,0.72592541,15,4,104
394,0.0738,0.0869,0.1222,0.1184,0.2225,0.1708,0.1204,0.1041,0.305368143,0.897423057,79,1,25
351,0.134,0.141,0.1375,0.1375,0.2625,0.1963,0.1421,0.125,0.3125,0.901387819,2,1,24
204,0.2842,0.2847,0.2925,0.2893,0.348,0.2919,0.2383,0.0587,0.092107328,0.769485106,159,1,21
482,0.0664,0.0857,0.1258,0.1307,0.1948,0.192,0.1688,0.0641,0.196927803,0.834822019,127,2,29
168,0.5346,0.543,0.557,0.5664,0.604,0.53,0.4218,0.0376,0.032125769,0.729469512,332,1,20
729,0.0389,0.0519,0.0681,0.0684,0.166,0.1352,0.1001,0.0976,0.416382253,0.957278566,335,3,52
702,0.0719,0.0724,0.0736,0.0662,0.0876,0.0784,0.0617,0.0214,0.139141743,0.799463409,284,2,49
276,0.0423,0.0581,0.0899,0.0809,0.3026,0.226,0.1305,0.2217,0.57809648,1.038314249,348,1,22
415,0.1099,0.1167,0.146,0.1634,0.2806,0.2935,0.2273,0.1172,0.263963964,0.874050321,95,2,26
911,0.5679,0.5756,0.5607,0.5697,0.5906,0.4195,0.2958,0.0209,0.018012583,0.71973091,15,4,124
445,0.1005,0.0998,0.0972,0.0881,0.1015,0.0678,0.0498,0.0134,0.070675105,0.755430411,63,2,26
348,0.0596,0.0797,0.1009,0.0949,0.2467,0.198,0.1508,0.1518,0.444379391,0.971791846,2,1,24
790,0.341,0.3529,0.366,0.3619,0.3817,0.3049,0.2189,0.0198,0.026627219,0.725690856,18,3,67
432,0.0617,0.0859,0.1104,0.116,0.27,0.2113,0.1402,0.154,0.398963731,0.948136979,348,2,26
568,0.0599,0.076,0.1036,0.1091,0.187,0.1675,0.1315,0.0779,0.263086795,0.873548393,348,2,34
949,0.3135,0.3347,0.359,0.3857,0.4695,0.5108,0.4202,0.0838,0.097988775,0.773297339,31,4,164
867,0.6018,0.609,0.6139,0.6296,0.6593,0.4705,0.3534,0.0297,0.023042905,0.723217052,15,4,104
68,0.1089,0.1104,0.1197,0.1135,0.1958,0.1709,0.1318,0.0823,0.266084707,0.875262651,191,1,15
112,0.0496,0.0579,0.0963,0.0783,0.4171,0.2755,0.1355,0.3388,0.683891805,1.088067923,143,1,17
165,0.0471,0.0552,0.0729,0.0743,0.0434,0.0132,0.0124,-0.0309,-0.262531861,0.487307028,335,1,19
697,0.1012,0.1082,0.1241,0.1297,0.2283,0.2402,0.1951,0.0986,0.275418994,0.880578784,271,2,48
740,0.0802,0.0937,0.1216,0.1366,0.2831,0.3256,0.2242,0.1465,0.349058852,0.921443895,50,3,54
200,0.1285,0.128,0.1177,0.106,0.2504,0.3267,0.2762,0.1444,0.405162738,0.951400409,319,1,21
947,0.8058,0.8236,0.8264,0.8464,0.8737,0.5122,0.3467,0.0273,0.01587117,0.718241721,15,4,162
602,0.155,0.1592,0.1726,0.1766,0.2752,0.2863,0.224,0.0986,0.218238158,0.847489326,111,2,37
788,0.0481,0.0596,0.0863,0.083,0.12,0.139,0.1351,0.037,0.18226601,0.825993953,50,3,66
766,0.11,0.1193,0.1082,0.0971,0.215,0.3076,0.2832,0.1179,0.377763537,0.936890355,50,3,60
39,0.1684,0.1696,0.1078,0.0902,0.3179,0.4555,0.385,0.2277,0.557951482,1.028567685,255,1,13
672,0.0823,0.0851,0.0938,0.0826,0.1523,0.1044,0.0739,0.0697,0.296722009,0.892592858,79,2,43
163,0.0745,0.0804,0.0968,0.0818,0.0606,0.0409,0.033,-0.0212,-0.148876404,0.592556829,63,1,19
561,0.305,0.3278,0.3462,0.3727,0.4682,0.4829,0.3929,0.0955,0.113568795,0.783306323,79,2,34
659,0.12,0.146,0.1536,0.1693,0.2473,0.3112,0.2392,0.078,0.187229957,0.828993339,271,2,42
30,0.0187,0.0298,0.0478,0.0371,0.2545,0.1368,0.0731,0.2174,0.745541838,1.116038457,255,1,11
493,0.1945,0.2017,0.2283,0.227,0.3483,0.3243,0.2259,0.1213,0.210846515,0.843117142,316,2,30
750,0.0427,0.0528,0.0807,0.0879,0.2094,0.1976,0.1281,0.1215,0.408678103,0.953246087,351,3,56
589,0.1053,0.1235,0.1506,0.164,0.2923,0.2875,0.2223,0.1283,0.281174666,0.88384086,127,2,36
491,0.6012,0.62,0.6302,0.6428,0.717,0.5175,0.3644,0.0742,0.054566848,0.744692452,239,2,30
608,0.0835,0.0835,0.0795,0.0706,0.0985,0.0664,0.0464,0.0279,0.16499113,0.815469883,143,2,37
507,0.1276,0.1334,0.1075,0.0943,0.2624,0.3957,0.3495,0.1681,0.471264368,0.985527457,79,2,31
