ca,blue,green,red,nir,swir1,swir2,VI,NDVI,TVI,DOY,AQI
0.2427,0.2435,0.2636,0.2605,0.3454,0.3015,0.2331,0.0849,0.140122132,0.800076329,191,15
0.0719,0.0862,0.1045,0.1122,0.2178,0.2371,0.192,0.1056,0.32,0.905538514,300,15
0.0923,0.104,0.1199,0.1295,0.2241,0.2381,0.1905,0.0946,0.267533937,0.876090142,300,15
0.0707,0.0819,0.1033,0.104,0.1672,0.1961,0.1646,0.0632,0.233038348,0.856176587,143,15
0.0485,0.0582,0.1089,0.0891,0.3944,0.2655,0.1606,0.3053,0.631437435,1.063690479,255,15
0.0681,0.0714,0.0868,0.0888,0.1919,0.1948,0.1606,0.1031,0.367296046,0.931287306,335,15
0.2106,0.213,0.2088,0.2053,0.275,0.1916,0.1551,0.0697,0.145117635,0.803192153,175,15
0.2107,0.213,0.209,0.2053,0.2751,0.1917,0.1549,0.0698,0.145295587,0.803302924,175,15
0.0547,0.0635,0.1116,0.0916,0.3941,0.266,0.1546,0.3025,0.622812436,1.059628442,255,15
0.0561,0.0727,0.1019,0.1049,0.17,0.1843,0.1543,0.0651,0.236813387,0.858378347,143,15
0.0533,0.0603,0.082,0.0832,0.1924,0.1927,0.1541,0.1092,0.396226415,0.946692355,335,15
0.1089,0.1104,0.1197,0.1135,0.1958,0.1709,0.1318,0.0823,0.266084707,0.875262651,191,15
0.0522,0.0639,0.0928,0.0849,0.182,0.1673,0.1318,0.0971,0.363806669,0.929412002,191,15
0.0503,0.0596,0.0859,0.0819,0.229,0.1665,0.0997,0.1471,0.47314249,0.986479848,191,15
0.024,0.034,0.0692,0.0559,0.2469,0.1484,0.0788,0.191,0.630779392,1.063381113,300,15
0.1233,0.1122,0.1305,0.1179,0.1737,0.1259,0.078,0.0558,0.191358025,0.831479419,143,15
0.0929,0.0989,0.1159,0.1083,0.1034,0.0773,0.0599,-0.0049,-0.023145961,0.690546189,127,15
0.0595,0.0729,0.1007,0.0922,0.091,0.0736,0.057,-0.0012,-0.006550218,0.702459808,127,15
0.6459,0.6589,0.7066,0.7209,0.7624,0.6082,0.4819,0.0415,0.027978157,0.726621054,143,16
0.65,0.6629,0.7097,0.7219,0.7659,0.6094,0.4749,0.044,0.029573867,0.727718261,143,16
0.4386,0.4606,0.4692,0.4865,0.5737,0.5171,0.3743,0.0872,0.082248632,0.763052182,143,16
0.4322,0.4521,0.464,0.4814,0.5651,0.5091,0.372,0.0837,0.079980889,0.761564763,143,16
0.5549,0.5811,0.5648,0.5761,0.6743,0.5095,0.3634,0.0982,0.078534869,0.760614797,143,16
0.5471,0.5754,0.5601,0.5692,0.6672,0.5066,0.3577,0.098,0.079262375,0.761092882,143,16
0.2083,0.2149,0.2324,0.2455,0.3325,0.3465,0.2673,0.087,0.150519031,0.8065476,143,16
0.0823,0.103,0.1481,0.1848,0.324,0.3525,0.2662,0.1392,0.273584906,0.879536756,143,16
0.1764,0.208,0.2133,0.2087,0.3112,0.3314,0.261,0.1025,0.197153299,0.834957064,175,16
0.1276,0.173,0.2021,0.1914,0.306,0.3275,0.2605,0.1146,0.23039807,0.854633296,175,16
0.1516,0.165,0.1844,0.1947,0.2854,0.2885,0.2381,0.0907,0.188918975,0.830011431,255,16
0.1129,0.1382,0.1783,0.1881,0.2847,0.2874,0.23,0.0966,0.204314721,0.839234604,255,16
0.1059,0.1254,0.1558,0.1605,0.2711,0.2601,0.2153,0.1106,0.256255792,0.869629687,255,16
0.0878,0.1135,0.1524,0.1559,0.271,0.26,0.2089,0.1151,0.269618178,0.877278848,255,16
0.0607,0.0789,0.1129,0.1086,0.2862,0.2324,0.1381,0.1776,0.449848024,0.974601469,364,16
0.0919,0.1003,0.1202,0.1133,0.2858,0.2319,0.1349,0.1725,0.432222501,0.965516701,364,16
0.0761,0.1013,0.1339,0.1426,0.2707,0.1768,0.1261,0.1281,0.30994435,0.899969083,95,16
0.0995,0.1158,0.1393,0.145,0.2718,0.1783,0.1259,0.1268,0.304222649,0.896784617,95,16
0.0328,0.0392,0.0721,0.0672,0.2312,0.1664,0.0972,0.164,0.549597855,1.024498831,335,16
0.0296,0.0376,0.0659,0.0604,0.2326,0.1668,0.0935,0.1722,0.587713311,1.04293495,335,16
0.1006,0.1043,0.1208,0.1096,0.118,0.0914,0.0721,0.0084,0.036906854,0.732739281,191,16
0.1005,0.1042,0.1206,0.1092,0.118,0.0914,0.0715,0.0088,0.038732394,0.73398392,191,16
0.0756,0.0779,0.0872,0.0822,0.072,0.0438,0.0346,-0.0102,-0.06614786,0.658674533,364,16
0.076,0.0784,0.0871,0.0818,0.0721,0.0438,0.0337,-0.0097,-0.06302794,0.661038622,364,16
0.3236,0.3224,0.3255,0.3264,0.4053,0.3385,0.2774,0.0789,0.107831078,0.779635221,159,17
0.3244,0.3232,0.3258,0.3266,0.4057,0.3386,0.2767,0.0791,0.108015841,0.779753705,159,17
0.0808,0.0861,0.1024,0.1003,0.3044,0.2624,0.1853,0.2041,0.504324191,1.002159763,143,17
0.0671,0.076,0.1034,0.1076,0.22,0.2264,0.183,0.1124,0.343101343,0.918205502,95,17
0.0735,0.0827,0.1078,0.1119,0.2217,0.2246,0.1802,0.1098,0.329136691,0.910569432,95,17
0.333,0.3304,0.3318,0.3252,0.3839,0.2249,0.1771,0.0587,0.08278099,0.763400937,207,17
0.3329,0.3304,0.3312,0.3248,0.3836,0.2244,0.1769,0.0588,0.083003953,0.763546955,207,17
0.0484,0.0659,0.0992,0.1122,0.1874,0.1989,0.1663,0.0752,0.251001335,0.866603332,255,17
0.0796,0.0881,0.1077,0.1176,0.1895,0.199,0.1601,0.0719,0.234125692,0.856811351,255,17
0.1196,0.1251,0.1383,0.1388,0.2223,0.1888,0.1513,0.0835,0.231237884,0.855124485,287,17
0.0681,0.0886,0.1221,0.1246,0.2186,0.1855,0.1454,0.094,0.273892774,0.879711756,287,17
0.0509,0.0583,0.0969,0.0782,0.4157,0.2776,0.1386,0.3375,0.683336708,1.087812809,143,17
0.0457,0.0586,0.0955,0.0798,0.3785,0.2614,0.1369,0.2987,0.651756491,1.073199185,364,17
0.0496,0.0579,0.0963,0.0783,0.4171,0.2755,0.1355,0.3388,0.683891805,1.088067923,143,17
0.0435,0.0558,0.0927,0.0762,0.3791,0.259,0.1332,0.3029,0.665275642,1.079479339,364,17
0.1707,0.1701,0.1796,0.1721,0.1811,0.1307,0.1159,0.009,0.025481314,0.724900899,2,17
0.1706,0.17,0.1794,0.1717,0.1808,0.1305,0.115,0.0091,0.025815603,0.725131438,2,17
0.0442,0.0509,0.0758,0.0631,0.2377,0.1764,0.1104,0.1746,0.580452128,1.039447992,300,17
0.0334,0.0414,0.0709,0.0582,0.24,0.1711,0.1074,0.1818,0.609657948,1.053403032,300,17
0.0804,0.0786,0.0806,0.0652,0.0856,0.0461,0.0288,0.0204,0.135278515,0.797043609,95,17
